HOLEID,ESTE,NORTE,COTA,LARGO,Proyecto
16QDR-892,2534657.986,6713702.23,2211.181,226,QDD_Main
16QDR-893,2534659.349,6713695.736,2211.27,226,QDD_Main
16QDR-894,2534422.806,6713690.685,2250.276,276,QDD_Main
16QDR-895,2534422.57,6713687.962,2250.288,278,QDD_Main
16QDR-896,2534431.931,6713690.021,2250.264,276,QDD_Main
16QDR-897,2534689.912,6713570.924,2271.787,256,QDD_Main
16QDR-898,2536006.446,6712779.355,2460.234,240,QDD_Main
16QDR-899,2536012.656,6712793.075,2459.992,240,QDD_Main
16QDR-900,2536006.973,6712789.177,2459.948,220,QDD_Main
16QDR-901,2536058.811,6712624.894,2561.871,210,QDD_Main
16QDR-902,2534505.686,6713408.694,2449.876,174,QDD_Main
16QDR-903,2534495.668,6713408.01,2450.213,228,QDD_Main
16QDR-904,2534297.072,6713487.734,2419.926,200,QDD_Main
16QDR-905,2534299.072,6713485.432,2420.104,200,QDD_Main
16QDR-906,2534109.23,6713702.227,2391.581,250,QDD_Main
16QDR-907,2534128.948,6713762.184,2380.191,260,QDD_Main
16QDR-908,2536316.292,6712694.314,2610.735,280,QDD_Main
16QDR-909,2534125.973,6713754.725,2380.328,198,QDD_Main
16QDR-910,2536316.907,6712696.748,2610.718,240,QDD_Main
16QDR-911,2536225.722,6712681.836,2580.345,230,QDD_Main
16QDR-912,2534271.599,6713665.548,2329.049,276,QDD_Main
16QDR-913,2536218.448,6712674.465,2580.307,250,QDD_Main
16QDR-914,2536108.899,6712704.114,2529.593,220,QDD_Main
16QDR-915,2536112.203,6712704.448,2530.071,200,QDD_Main
16QDR-916,2534267.547,6713666.454,2329.275,250,QDD_Main
16QDR-917,2536203.345,6712729.546,2538.577,220,QDD_Main
16QDR-918,2536201.711,6712731.129,2538.497,200,QDD_Main
16QDR-919,2536197.136,6712732.238,2538.556,200,QDD_Main
16QDR-920,2536193.148,6712730.319,2538.695,200,QDD_Main
16QDR-921,2536191.97,6712729.149,2538.778,200,QDD_Main
16QDR-922,2536004.12,6712702.956,2510.137,230,QDD_Main
16QDR-923,2534472.111,6713450.249,2421.175,240,QDD_Main
16QDR-924,2536150.469,6712852.088,2481.801,240,QDD_Main
16QDR-925,2536177.114,6712903.061,2440.394,220,QDD_Main
16QDR-926,2534476.11,6713453.951,2420.836,240,QDD_Main
16QDR-927,2536176.612,6712903.952,2440.458,200,QDD_Main
16QDR-928,2536526.732,6712973.818,2440.752,320,QDD_Main
