HOLEID,ESTE,NORTE,COTA,LARGO,Proyecto
16LVR-044,2533928.8,6716206.779,2079.396,350,LV
16LVR-045,2533928.459,6716205.912,2079.597,350,LV
16LVR-046,2534010.447,6716432.981,2055.279,248,LV
16LVR-047,2534018.142,6716429.786,2054.889,230,LV
16LVR-048,2534009.462,6716436.184,2055.189,240,LV
16LVR-049,2533982.192,6716325.132,2039.151,240,LV
16LVR-050,2534056.078,6716462.035,2036.061,350,LV
16LVR-051,2534046.245,6716460.6,2036.535,350,LV
16LVR-052,2533926.787,6716493.104,2027.796,220,LV
16LVR-053,2533935.157,6716495.401,2027.631,220,LV
16LVR-054,2533901.682,6716428.15,2036.036,210,LV
16LVR-055,2533896.733,6716429.914,2035.88,236,LV
16LVR-056,2533897.928,6716426.371,2036.147,350,LV
16LVR-057,2533886.705,6715903.702,2152.477,350,LV
16LVR-058,2533883.234,6715915.113,2152.502,350,LV
16LVR-059,2533924.487,6716209.834,2079.243,270,LV
16LVR-060,2533930.211,6716199.639,2080.048,350,LV
16LVR-061,2533926.774,6716199.192,2080.275,350,LV
16LVR-062,2533921.925,6716209.863,2079.064,350,LV
16LVR-063,2534003.345,6716514.413,2043.417,300,LV
16LVR-064,2534003.953,6716507.441,2044.568,246,LV
16LVR-065,2533981.332,6716323.943,2039.439,350,LV
16LVR-066,2533983.454,6716329.321,2039.276,350,LV
16LVR-067,2533978.583,6716599.094,1994.235,376,LV
16LVR-068,2534224.372,6716280.816,2116.308,350,LV
16LVR-069,2534035.27,6716527.59,2031.743,286,LV
16LVR-070,2534035.968,6716520.838,2032.342,210,LV
16LVR-071,2533935.866,6716488.758,2030.41,186,LV
16LVR-072,2533936.278,6716493.471,2030.044,280,LV
16LVR-073,2533978.507,6716599.124,1994.124,230,LV
16LVR-074,2533974.176,6716600.258,1996.008,250,LV
16LVR-075,2533981.013,6716605.976,1995.938,250,LV
16LVR-076,2534044.629,6716481.489,2039.449,200,LV
16LVR-077,2533998.805,6716118.57,2112.987,300,LV
16LVR-078,2534213.293,6716285.004,2117.184,350,LV
16LVR-079,2534042.233,6716474.289,2040.085,250,LV
16LVR-080,2534048.908,6716476.221,2039.155,250,LV
16LVR-081,2534054.733,6716476.261,2038.409,200,LV
16LVR-082,2533997.41,6716322.051,2039.116,250,LV
16LVR-083,2533996.709,6716321.71,2039.132,250,LV
16LVR-084,2533995.9,6716316.788,2039.438,250,LV
16LVR-085,2534095.886,6716111.077,2122.301,350,LV
16LVR-088,2533518,6714858.4,2111,300,LV
16LVR-089,2533494,6714853,2112,300,LV
16LVR-090,2533493.686,6715124.171,2138.194,144,LV
16LVR-092,2533338.6,6714577,2079,80,LV
16LVR-094,2533663.2,6715246.4,2201,300,LV
16LVR-095,2533657,6715257,2201,300,LV
17LV-113,2533963.282,6716558.518,2013.212,283.9,LV
17LV-116,2534145.01,6716652,1951,268,LV
17LV-120,2533922.046,6716209.985,2078.995,32.5,LV
17LV-122,2534141.044,6716654.943,1952.184,204.6,LV
17LV-123,2533917.807,6716209.231,2079.748,257,LV
17LV-143,2533415,6715070,2116,281.8,LV
17LV-144,2533919,6716202,2080,190,LV
17LV-145,2533920.01,6716205,2080,255.1,LV
17LV-147,2533920.02,6716205,2080,102.8,LV
17LV-149,2534152.03,6716696,1928,110.3,LV
17LV-154,2534152.04,6716696,1928,150,LV
17LV-157,2534152.05,6716696,1928,130,LV
17LVR-097,2534006.5,6716543.299,2043.047,200,LV
17LVR-098,2534010.569,6716529.456,2043.115,278,LV
17LVR-099,2534005.527,6716539.671,2043.045,250,LV
17LVR-100,2533998.963,6716538.753,2043.268,250,LV
17LVR-101,2534004.01,6716536.355,2043.222,226,LV
17LVR-103,2533997.816,6716532.622,2043.436,220,LV
17LVR-104,2533622.045,6715566.214,2189.502,300,LV
17LVR-105,2533536.536,6715453.472,2174.507,350,LV
17LVR-106,2533819.751,6715684.917,2211.258,350,LV
17LVR-107,2533826.506,6715686.03,2210.675,340,LV
17LVR-108,2533335.295,6714578.852,2079.379,300,LV
17LVR-109,2533333.755,6714585.673,2079.218,192,LV
17LVR-110,2533462.812,6714721,2092.667,300,LV
17LVR-111,2533486.798,6714756.083,2099.186,300,LV
17LVR-112,2533886.822,6715917.911,2152.257,350,LV
17LVR-114,2533894.028,6715913.227,2151.987,320,LV
17LVR-115,2533949,6716408,2069,350,LV
17LVR-117,2533949.02,6716408,2069,300,LV
17LVR-118,2533949.03,6716408,2069,300,LV
17LVR-119,2533949.01,6716408,2069,270,LV
17LVR-121,2533961.627,6716416.452,2067.77,200,LV
17LVR-124,2533951.264,6716415.976,2067.99,236,LV
17LVR-125,2533978.988,6716322.842,2039.034,350,LV
17LVR-126,2534019.804,6716219.26,2077.953,370,LV
17LVR-127,2534019.433,6716219.558,2077.897,370,LV
17LVR-128,2534028.936,6716218.812,2078.765,370,LV
17LVR-129,2534051.948,6716064.399,2115.134,320,LV
17LVR-130,2534053.556,6716063.948,2115.206,350,LV
17LVR-131,2533991.02,6716124,2112,350,LV
17LVR-132,2533893.889,6716432.766,2035.51,350,LV
17LVR-133,2533894.767,6716431.874,2035.615,350,LV
17LVR-134,2533891.872,6716433.284,2035.431,320,LV
17LVR-135,2533897.01,6716429,2037,300,LV
17LVR-136,2533961,6716599,1998,300,LV
17LVR-137,2533415.01,6715070,2116,264,LV
17LVR-138,2533963.01,6716601,1998,280,LV
17LVR-139,2533963.02,6716601,1998,300,LV
17LVR-140,2533963.03,6716601,1998,250,LV
17LVR-141,2533932.01,6716493,2027,300,LV
17LVR-142,2533932.02,6716493,2027,156,LV
17LVR-146,2534153.393,6716858.004,1822.781,276,LV
17LVR-148,2534037.108,6716878.646,1829.33,300,LV
17LVR-150,2534035.952,6716879.725,1829.156,300,LV
17LVR-151,2534157.812,6716855.683,1822.844,270,LV
17LVR-152,2534158.789,6716849.205,1822.736,250,LV
17LVR-153,2534156.534,6716847.501,1822.848,250,LV
17LVR-155,2533567.017,6717261.992,1771.29,126,LV
17LVR-156,2533559.905,6717257.949,1770.797,250,LV
17LVR-158,2533580.159,6717232.504,1773.017,252,LV
17LVR-159,2533574.994,6717228.825,1772.999,250,LV
17LVR-160,2533602,6717107.01,1787,250,LV
17LVR-161,2533603,6716971.01,1813,250,LV
17LVR-162,2533603,6716971,1813,250,LV
17LVR-163,2533603.01,6716971,1813,250,LV
17LVR-164,2533602.01,6717107,1787,18,LV
17LVR-165,2533602.01,6717107.01,1787,250,LV
17LVR-166,2533602,6717107,1787,250,LV
17LVR-167,2533603.02,6716971,1813,250,LV
17LVR-168,2534215,6716290,2117,280,LV
17LVR-169,2534215,6716290.01,2117,250,LV
17LVR-170,2533917,6716211,2078,180,LV
17LVR-171,2534036,6716528,2030,250,LV
17LVR-172,2533968,6716607.01,1995,250,LV
17LVR-173,2533897,6716429.01,2032,250,LV
17LVR-174,2533897,6716429,2032,200,LV
17LVR-175,2533635,6715090,2183,200,LV
18LV-176,2534525.02,6715210,1760,283.5,LV
18LV-177,2534525.01,6715210,1760,298,LV
18LV-178,2533635,6715088,2181,279,LV
18LV-179,2533635.01,6715088,2181,252,LV
18LV-180,2533613.342,6717104.623,1786.103,225,LV
18LV-181,2533605.139,6717103.61,1786.267,28.1,LV
18LV-182,2533603.777,6717103.826,1786.089,250.8,LV
18LV-183,2533600.177,6717101.269,1786.367,251.5,LV
18LV-184,2533602.57,6716967.15,1812.107,276,LV
18LV-185,2533605.18,6716970.04,1812.198,275.5,LV
18LV-186,2533604.17,6716971.74,1812.09,250,LV
18LV-187,2533608.63,6717106.78,1786.683,220,LV
19LV-188,2533604.972,6716972.766,1812.097,296,LV
19LV-192,2533602.758,6716972.419,1812.014,280,LV
19LV-195,2534190.688,6716782.933,1835.11,550,LV
19LV-202,2534188.935,6716780.603,1835.123,276,LV
19LV-206,2534416.987,6717218.448,1540.414,259,LV
19LV-209,2534420.406,6717221.335,1540.117,145.1,LV
19LV-212,2534424.107,6717222.94,1540.788,250,LV
19LV-214,2533899.167,6716427.921,2035.79,273.5,LV
19LV-215,2533887.3,6715910.938,2152.227,158.7,LV
19LV-216,2533887.03,6715921.969,2151.955,188,LV
19LVR-189,2533950.718,6716417.503,2068.212,350,LV
19LVR-190,2533951.395,6716416.794,2067.999,350,LV
19LVR-191,2533892.135,6716431.583,2035.571,350,LV
19LVR-193,2533892.578,6716435.247,2035.671,350,LV
19LVR-194,2533931.487,6716599.062,1983.128,350,LV
19LVR-196,2533916.626,6716598.036,1982.443,350,LV
19LVR-197,2533913.708,6716596.913,1983.197,350,LV
19LVR-198,2533913.917,6716596.949,1982.395,350,LV
19LVR-199,2533911.255,6716601.294,1982.063,350,LV
19LVR-200,2533908.492,6716600.534,1982.173,320,LV
